experiment,mode,control,paired_end,genome,strand_specific,moeity,ip_type,sample_name,read_length,GSM,Group,Species,Cell,Genotype,Other,Condition,Replicate,ControlType,Shearing_method,SRX,mode_group,clean_name,corr_min,corr_max,corr_median,corr_mean,corr_sd,corr_skewness,corr_kurtosis,corr_method,rlfs_min,rlfs_max,rlfs_median,rlfs_mean,rlfs_sd,rlfs_skewness,rlfs_kurtosis,rlfs_method,rlfs_pval,3UTR__Number of peaks,3UTR__Total size (bp),3UTR__Log2 Ratio (obs/exp),3UTR__LogP enrichment (+values depleted),Retroposon__Number of peaks,Retroposon__Total size (bp),Retroposon__Log2 Ratio (obs/exp),Retroposon__LogP enrichment (+values depleted),RNA__Number of peaks,RNA__Total size (bp),RNA__Log2 Ratio (obs/exp),RNA__LogP enrichment (+values depleted),miRNA__Number of peaks,miRNA__Total size (bp),miRNA__Log2 Ratio (obs/exp),miRNA__LogP enrichment (+values depleted),ncRNA__Number of peaks,ncRNA__Total size (bp),ncRNA__Log2 Ratio (obs/exp),ncRNA__LogP enrichment (+values depleted),TTS__Number of peaks,TTS__Total size (bp),TTS__Log2 Ratio (obs/exp),TTS__LogP enrichment (+values depleted),LINE__Number of peaks,LINE__Total size (bp),LINE__Log2 Ratio (obs/exp),LINE__LogP enrichment (+values depleted),srpRNA__Number of peaks,srpRNA__Total size (bp),srpRNA__Log2 Ratio (obs/exp),srpRNA__LogP enrichment (+values depleted),SINE__Number of peaks,SINE__Total size (bp),SINE__Log2 Ratio (obs/exp),SINE__LogP enrichment (+values depleted),RC__Number of peaks,RC__Total size (bp),RC__Log2 Ratio (obs/exp),RC__LogP enrichment (+values depleted),tRNA__Number of peaks,tRNA__Total size (bp),tRNA__Log2 Ratio (obs/exp),tRNA__LogP enrichment (+values depleted),pseudo__Number of peaks,pseudo__Total size (bp),pseudo__Log2 Ratio (obs/exp),pseudo__LogP enrichment (+values depleted),DNA__Number of peaks,DNA__Total size (bp),DNA__Log2 Ratio (obs/exp),DNA__LogP enrichment (+values depleted),Exon__Number of peaks,Exon__Total size (bp),Exon__Log2 Ratio (obs/exp),Exon__LogP enrichment (+values depleted),Intron__Number of peaks,Intron__Total size (bp),Intron__Log2 Ratio (obs/exp),Intron__LogP enrichment (+values depleted),Intergenic__Number of peaks,Intergenic__Total size (bp),Intergenic__Log2 Ratio (obs/exp),Intergenic__LogP enrichment (+values depleted),Promoter__Number of peaks,Promoter__Total size (bp),Promoter__Log2 Ratio (obs/exp),Promoter__LogP enrichment (+values depleted),5UTR__Number of peaks,5UTR__Total size (bp),5UTR__Log2 Ratio (obs/exp),5UTR__LogP enrichment (+values depleted),snoRNA__Number of peaks,snoRNA__Total size (bp),snoRNA__Log2 Ratio (obs/exp),snoRNA__LogP enrichment (+values depleted),scRNA__Number of peaks,scRNA__Total size (bp),scRNA__Log2 Ratio (obs/exp),scRNA__LogP enrichment (+values depleted),CpG-Island__Number of peaks,CpG-Island__Total size (bp),CpG-Island__Log2 Ratio (obs/exp),CpG-Island__LogP enrichment (+values depleted),Low_complexity__Number of peaks,Low_complexity__Total size (bp),Low_complexity__Log2 Ratio (obs/exp),Low_complexity__LogP enrichment (+values depleted),LTR__Number of peaks,LTR__Total size (bp),LTR__Log2 Ratio (obs/exp),LTR__LogP enrichment (+values depleted),Simple_repeat__Number of peaks,Simple_repeat__Total size (bp),Simple_repeat__Log2 Ratio (obs/exp),Simple_repeat__LogP enrichment (+values depleted),snRNA__Number of peaks,snRNA__Total size (bp),snRNA__Log2 Ratio (obs/exp),snRNA__LogP enrichment (+values depleted),Unknown__Number of peaks,Unknown__Total size (bp),Unknown__Log2 Ratio (obs/exp),Unknown__LogP enrichment (+values depleted),Satellite__Number of peaks,Satellite__Total size (bp),Satellite__Log2 Ratio (obs/exp),Satellite__LogP enrichment (+values depleted),rRNA__Number of peaks,rRNA__Total size (bp),rRNA__Log2 Ratio (obs/exp),rRNA__LogP enrichment (+values depleted),Other__Number of peaks,Other__Total size (bp),Other__Log2 Ratio (obs/exp),Other__LogP enrichment (+values depleted),ARTEFACT__Number of peaks,ARTEFACT__Total size (bp),ARTEFACT__Log2 Ratio (obs/exp),ARTEFACT__LogP enrichment (+values depleted),miscRNA__Number of peaks,miscRNA__Total size (bp),miscRNA__Log2 Ratio (obs/exp),miscRNA__LogP enrichment (+values depleted),MACS2__Distinct Peak Count,EPIC2__Distinct Peak Count,MACS2__Overlapping Peak Count,EPIC2__Overlapping Peak Count,MACS2__Percentage Peaks Overlapping,EPIC2__Percentage Peaks Overlapping,MACS2__total_peaks,EPIC2__total_peaks,reads_before,reads_after,percent_passing,gc_content,read_length_after_filter,reads_aligned,pct_aligned,duplicate_reads,pct_duplicated
SRR9667903,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428488_shCTRL_ssDRIP_rep3,150,GSM3937234,Yang,HS,HeLa,shCTRL,NT,S9.6,3,None,RES,SRX6428488,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428488,0.262058011676482,1,0.76574571773267,0.701535921333756,0.257750004786747,-0.48221006440509,1.77245098270893,unbiased,-5000,5000,900,927.893479234833,2427.67731350046,-0.301447765534665,2.37283041866767,unbiased,2.699837725867246,     1220.000, 27391526.000,       -0.160,       10.106,      156.000,  4183974.000,       -0.416,        9.286,       19.000,   109768.000,        1.799,      -12.232,        2.000,   101393.000,       -1.335,        2.113,      241.000,  7325161.000,       -0.597,       26.426,     1864.000, 33935991.000,        0.143,      -11.291,    44193.000,643308830.000,        0.465,    -2692.430,      123.000,   269349.000,        3.198,     -166.317,    46740.000,387675296.000,        1.277,   -16872.651,        9.000,   364625.000,       -1.011,        4.252,       13.000,   101419.000,        1.365,       -6.127,       71.000,  2356520.000,       -0.724,       12.793,     3007.000,100792410.000,       -0.738,      487.239,     1752.000, 38497860.000,       -0.129,        9.527,    26185.000,666269714.000,       -0.340,      987.003,    14315.000,793940534.000,       -1.464,    13198.732,     1784.000, 37687212.000,       -0.072,        4.074,      146.000,  2680848.000,        0.130,       -1.915,        0.000,      357.000,       -0.025,        0.018,       32.000,   125547.000,        2.357,      -28.973,      607.000,  9406723.000,        0.375,      -21.579,     1854.000,  5601789.000,        2.734,    -1950.314,     5895.000,267098452.000,       -1.173,     2795.240,     5799.000, 35838232.000,        1.701,    -2880.335,      154.000,   322172.000,        3.264,     -213.842,       13.000,   718459.000,       -1.459,       11.377,      175.000, 76976623.000,       -4.452,     3161.912,       81.000,   235390.000,        2.790,      -90.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9307.0, 99383.0, 58927.0, 57123.0,    86.4,    36.5, 68234.0,156506.0,157430532,151703830,96.4,144,144,130377163,85.94190601516125,48315746,31.848731834918077
SRR9667906,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428491_shMETTL3_ssDRIP_rep1,150,GSM3937237,Yang,HS,HeLa,shMETTL3,NT,S9.6,1,None,RES,SRX6428491,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428491,0.258052550583714,1,0.77454306218737,0.698429823001797,0.254075066686137,-0.516843580380012,1.86713920953108,unbiased,-5000,5000,700,97.8097318969916,3246.6599058037,-0.0509437725188588,1.47564544823315,unbiased,2.699837725867246,      872.000, 27425195.000,       -0.325,       26.806,      142.000,  4216656.000,       -0.242,        3.794,       28.000,   110334.000,        2.672,      -30.673,        3.000,    99491.000,       -0.402,        0.819,      187.000,  7387232.000,       -0.654,       25.059,     1462.000, 34267703.000,        0.099,       -5.382,    35863.000,644198934.000,        0.483,    -2348.816,      140.000,   269098.000,        3.707,     -233.855,    37693.000,388517405.000,        1.284,   -13755.917,        6.000,   365308.000,       -1.278,        4.593,        8.000,   104598.000,        0.941,       -2.786,       50.000,  2377943.000,       -0.922,       14.928,     2474.000,100884178.000,       -0.700,      357.957,     1547.000, 38799153.000,        0.002,       -0.720,    21300.000,667177611.000,       -0.319,      704.237,    11053.000,795814719.000,       -1.520,    11125.481,     1483.000, 38089145.000,       -0.033,        1.644,      132.000,  2697121.000,        0.297,       -4.430,        0.000,      357.000,       -0.020,        0.014,       32.000,   126421.000,        2.668,      -34.704,      561.000,  9414657.000,        0.581,      -43.107,     1139.000,  5613087.000,        2.349,     -946.651,     4400.000,267628039.000,       -1.277,     2538.328,     4540.000, 35865515.000,        1.668,    -2182.179,      119.000,   323075.000,        3.209,     -161.810,       11.000,   718518.000,       -1.379,        8.772,      171.000, 76965615.000,       -4.164,     2438.327,       76.000,   235593.000,        3.018,      -95.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 10232.0, 75706.0, 51167.0, 49835.0,    83.3,    39.7, 61399.0,125541.0,176132726,162140868,92.1,144,144,134864371,83.17728445859807,57853786,35.681186806030915
SRR9667907,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428492_shMETTL3_ssDRIP_rep2,150,GSM3937238,Yang,HS,HeLa,shMETTL3,NT,S9.6,2,None,RES,SRX6428492,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428492,0.265160622768821,1,0.777594992374005,0.70085577752408,0.249664849750128,-0.522957642276356,1.88660706288219,unbiased,-5000,5000,550,87.76438019784,3291.19336494599,-0.0258236209301103,1.46040808787018,unbiased,2.699837725867246,      878.000, 27333332.000,       -0.261,       17.996,      136.000,  4170672.000,       -0.240,        3.641,       22.000,   109748.000,        2.380,      -20.791,        2.000,    99501.000,       -0.938,        1.332,      180.000,  7293793.000,       -0.642,       23.322,     1392.000, 33800540.000,        0.097,       -5.043,    35109.000,642123301.000,        0.506,    -2514.238,      135.000,   267395.000,        3.713,     -226.082,    36004.000,386720494.000,        1.274,   -12939.395,        3.000,   364670.000,       -2.227,        7.687,       10.000,   101562.000,        1.355,       -4.960,       49.000,  2312244.000,       -0.862,       12.871,     2320.000,100600370.000,       -0.740,      378.449,     1504.000, 38360936.000,        0.026,       -1.412,    20471.000,664726081.000,       -0.322,      690.661,    10736.000,793233245.000,       -1.508,    10615.320,     1378.000, 37537610.000,       -0.069,        3.279,      106.000,  2675290.000,        0.041,       -0.924,        0.000,      357.000,       -0.020,        0.014,       35.000,   125415.000,        2.858,      -41.713,      495.000,  9352815.000,        0.459,      -25.406,     1083.000,  5596570.000,        2.329,     -888.392,     4223.000,266534572.000,       -1.281,     2456.306,     4157.000, 35769978.000,        1.594,    -1849.706,      134.000,   321624.000,        3.436,     -200.832,       13.000,   717822.000,       -1.088,        6.455,      165.000, 76968457.000,       -4.167,     2358.399,       84.000,   235067.000,        3.214,     -115.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 10350.0, 72108.0, 50247.0, 48785.0,    82.9,    40.4, 60597.0,120893.0,149581942,143768350,96.1,143,143,119877221,83.38220547151025,48768781,33.92177833299193
SRR9667908,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428493_shMETTL3_ssDRIP_rep3,150,GSM3937239,Yang,HS,HeLa,shMETTL3,NT,S9.6,3,None,RES,SRX6428493,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428493,0.267635058518578,1,0.78247094912529,0.702131412623612,0.24874521402427,-0.530951237408898,1.89629447895701,unbiased,-5000,5000,950,247.100210243477,3342.14028611515,-0.109419975738663,1.45640134593201,unbiased,2.699837725867246,      912.000, 27392537.000,       -0.263,       18.765,      127.000,  4192785.000,       -0.399,        7.330,       26.000,   109992.000,        2.565,      -26.999,        2.000,    99491.000,       -0.991,        1.419,      191.000,  7353341.000,       -0.621,       23.070,     1465.000, 33985408.000,        0.110,       -6.253,    36427.000,643324929.000,        0.504,    -2585.000,      147.000,   268033.000,        3.779,     -252.211,    37892.000,387329587.000,        1.292,   -13984.346,       10.000,   364987.000,       -0.544,        1.963,       13.000,   102970.000,        1.660,       -7.945,       52.000,  2329689.000,       -0.839,       12.904,     2449.000,100721710.000,       -0.716,      372.447,     1483.000, 38526433.000,       -0.053,        2.558,    20874.000,665541570.000,       -0.349,      828.143,    11034.000,794066005.000,       -1.523,    11164.410,     1469.000, 37754556.000,       -0.038,        1.835,       98.000,  2682302.000,       -0.129,        1.593,        0.000,      357.000,       -0.020,        0.014,       35.000,   125625.000,        2.802,      -40.555,      482.000,  9370597.000,        0.365,      -16.787,     1133.000,  5596273.000,        2.342,     -937.040,     4424.000,267039073.000,       -1.270,     2519.802,     4414.000, 35807310.000,        1.626,    -2031.555,      145.000,   322203.000,        3.494,     -222.431,        8.000,   718003.000,       -1.842,       12.124,      147.000, 76955969.000,       -4.386,     2517.828,       87.000,   235032.000,        3.212,     -119.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8737.0, 77159.0, 49946.0, 48440.0,    85.1,    38.6, 58683.0,125599.0,155974950,149306140,95.7,144,144,124550784,83.41973344163877,53110722,35.5716931668048
SRR9667909,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428494_shCTRL_EV_ssDRIP_rep1,150,GSM3937240,Yang,HS,HeLa,shCTRL,EV,S9.6,1,None,RES,SRX6428494,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428494,0.10045810281183,1,0.621494133312342,0.597474855355963,0.327253087017703,-0.260650254079432,1.46281537667415,unbiased,-5000,5000,0,-7.34719268550572,1900.62130452496,0.0659441969351513,2.63547433512288,unbiased,2.699837725867246,     1213.000, 27175007.000,        1.023,     -250.623,       83.000,  4147874.000,       -0.134,        1.540,        3.000,   108908.000,        0.327,       -0.848,        4.000,    99481.000,        0.872,       -1.727,      167.000,  7235416.000,        0.071,       -1.306,     1431.000, 33451964.000,        0.962,     -265.034,    12029.000,639955283.000,       -0.225,      194.835,       76.000,   266759.000,        3.697,     -127.665,    17838.000,384923831.000,        1.077,    -4711.996,        5.000,   364625.000,       -0.680,        1.659,        5.000,    99152.000,        1.199,       -2.657,       55.000,  2288451.000,        0.130,       -1.309,     1768.000,100306172.000,       -0.318,       50.623,     1973.000, 38020532.000,        1.240,     -572.117,    19939.000,662550704.000,        0.454,    -1174.403,     4314.000,789167324.000,       -2.007,     8552.481,     1356.000, 37136308.000,        0.733,     -154.643,      160.000,  2644722.000,        1.462,      -63.282,        0.000,      357.000,       -0.011,        0.008,        3.000,   124511.000,        0.133,       -0.664,      542.000,  9265352.000,        1.413,     -196.850,      558.000,  5564076.000,        2.191,     -416.795,     2518.000,265410834.000,       -1.211,     1287.999,     2246.000, 35615829.000,        1.522,     -925.299,      115.000,   319848.000,        4.033,     -216.808,       11.000,   717371.000,       -0.519,        1.970,      172.000, 76914877.000,       -3.296,     1144.949,       57.000,   234143.000,        3.470,      -88.120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1137.0,58715.0,10300.0, 9965.0,   90.1,   14.5,11437.0,68680.0,156086368,149708330,95.9,142,142,132026652,88.1892490551461,69472403,46.40516863690885
SRR9667910,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428495_shCTRL_EV_ssDRIP_rep2,150,GSM3937241,Yang,HS,HeLa,shCTRL,EV,S9.6,2,None,RES,SRX6428495,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428495,0.100144087021804,1,0.619626640761356,0.601068570990622,0.328451583500697,-0.255961845542727,1.45671291282428,unbiased,-5000,5000,-150,-182.95800567611,1885.15652817772,-0.0228714944884548,2.68593409531864,unbiased,2.699837725867246,     1575.000, 27401260.000,        0.839,     -227.805,      138.000,  4213010.000,        0.028,       -0.866,        9.000,   110050.000,        1.348,       -4.558,        5.000,    99491.000,        0.646,       -1.520,      218.000,  7394745.000,       -0.124,        2.236,     1910.000, 34198984.000,        0.798,     -252.101,    17209.000,643729326.000,       -0.265,      386.789,      138.000,   268145.000,        4.002,     -256.812,    31802.000,388136892.000,        1.351,   -12728.619,        8.000,   365821.000,       -0.555,        1.760,        4.000,   104598.000,        0.252,       -0.837,       71.000,  2363155.000,       -0.097,        1.167,     2341.000,100851673.000,       -0.469,      145.753,     2382.000, 38728608.000,        0.937,     -419.844,    25588.000,667198897.000,        0.256,     -493.470,     6472.000,795136523.000,       -1.981,    12415.251,     1715.000, 38022017.000,        0.490,      -93.121,      180.000,  2696121.000,        1.055,      -41.201,        0.000,      357.000,       -0.016,        0.011,       17.000,   126412.000,        2.066,      -13.492,      714.000,  9391253.000,        1.243,     -207.301,     1053.000,  5607983.000,        2.547,     -994.331,     3540.000,267444421.000,       -1.279,     2052.517,     3669.000, 35830510.000,        1.672,    -1772.015,      131.000,   322842.000,        3.659,     -214.959,        9.000,   717944.000,       -1.358,        7.164,      163.000, 76933477.000,       -3.922,     1895.412,       68.000,   236060.000,        3.165,      -91.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1525.0, 80731.0, 20933.0, 20455.0,    93.2,    20.2, 22458.0,101186.0,155732802,148505328,95.4,143,143,128850721,86.76504926476443,78307167,52.730207093983864
SRR9667911,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428496_shMETTL3_EV_ssDRIP_rep1,150,GSM3937242,Yang,HS,HeLa,shMETTL3,EV,S9.6,1,None,RES,SRX6428496,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428496,0.240342139360838,1,0.708928757832479,0.676758088967245,0.262577609451561,-0.394916586455238,1.64157916872942,unbiased,-5000,5000,150,274.199191284856,1866.47608638474,0.185769971722575,2.80609537751877,unbiased,2.699837725867246,      975.000, 27286194.000,        0.261,      -17.801,      108.000,  4185719.000,       -0.208,        2.663,       10.000,   109191.000,        1.619,       -6.219,        4.000,    99481.000,        0.432,       -1.064,      185.000,  7349796.000,       -0.244,        4.600,     1451.000, 33873740.000,        0.523,      -89.179,    22447.000,642284410.000,        0.229,     -347.336,      104.000,   267008.000,        3.708,     -174.443,    25875.000,386347328.000,        1.168,    -7926.694,        9.000,   364987.000,       -0.274,        1.040,        4.000,   102859.000,        0.383,       -1.001,       64.000,  2316634.000,       -0.110,        1.217,     1912.000,100572949.000,       -0.649,      236.322,     1715.000, 38417739.000,        0.582,     -128.002,    19174.000,664372195.000,       -0.047,       15.493,     8333.000,793103963.000,       -1.505,     8192.186,     1601.000, 37645834.000,        0.512,      -94.683,      151.000,  2667446.000,        0.925,      -28.070,        0.000,      357.000,       -0.015,        0.011,       11.000,   125425.000,        1.557,       -6.374,      598.000,  9337389.000,        1.103,     -141.655,     1046.000,  5589319.000,        2.650,    -1050.422,     3663.000,266729162.000,       -1.118,     1559.795,     3690.000, 35744691.000,        1.792,    -2000.999,      123.000,   321457.000,        3.682,     -203.808,       10.000,   717429.000,       -1.097,        5.294,      221.000, 76969047.000,       -3.376,     1583.413,       68.000,   234993.000,        3.279,      -96.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 7928.0,57483.0,37242.0,36117.0,   82.4,   38.6,45170.0,93600.0,159030056,152995662,96.2,143,143,132308763,86.47876761368568,59902361,39.15298003678039
SRR9667912,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428497_shMETTL3_EV_ssDRIP_rep2,150,GSM3937243,Yang,HS,HeLa,shMETTL3,EV,S9.6,2,None,RES,SRX6428497,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428497,0.171113114917339,1,0.658412357729369,0.63703353150408,0.288683918565117,-0.327179877823797,1.56306017125594,unbiased,-5000,5000,50,80.007848188399,1820.11746567895,0.0895817223054334,2.86662891261676,unbiased,2.699837725867246,     1302.000, 27376377.000,        0.364,      -41.479,      154.000,  4196386.000,       -0.010,        0.722,       15.000,   109826.000,        1.886,      -10.657,        2.000,   100789.000,       -0.897,        1.269,      245.000,  7359232.000,       -0.151,        2.958,     1864.000, 34049210.000,        0.567,     -131.825,    24432.000,642758683.000,        0.040,      -14.458,      136.000,   269104.000,        3.773,     -233.010,    36778.000,387503459.000,        1.360,   -14913.222,        5.000,   364987.000,       -1.432,        4.857,        7.000,   103081.000,        0.878,       -2.388,       69.000,  2338946.000,       -0.325,        3.483,     2395.000,100719908.000,       -0.636,      283.013,     2197.000, 38618418.000,        0.622,     -184.115,    24078.000,666006671.000,       -0.032,        9.856,     9351.000,793328830.000,       -1.649,    11428.460,     2035.000, 37839477.000,        0.541,     -132.090,      207.000,  2685999.000,        1.060,      -47.367,        0.000,      357.000,       -0.019,        0.013,       32.000,   125830.000,        2.782,      -36.874,      880.000,  9409278.000,        1.339,     -289.741,     1174.000,  5602381.000,        2.503,    -1078.349,     4202.000,266797989.000,       -1.231,     2227.500,     4197.000, 35781588.000,        1.666,    -2013.175,      134.000,   322575.000,        3.490,     -205.456,        5.000,   718342.000,       -2.409,       14.747,      181.000, 76940546.000,       -3.974,     2198.875,       75.000,   235340.000,        3.108,      -98.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6595.0, 67548.0, 50811.0, 48660.0,    88.5,    41.9, 57406.0,116208.0,149975890,143772762,95.9,143,143,123650081,86.00382943189197,61717536,42.927140816839845
SRR9667913,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428498_shMETTL3_mut_ssDRIP_rep1,150,GSM3937244,Yang,HS,HeLa,shMETTL3,mutMETTL3OE,S9.6,1,None,RES,SRX6428498,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428498,0.183691174519935,1,0.655364544358393,0.64397840264494,0.298189149265476,-0.277087326453404,1.47266871187263,unbiased,-5000,5000,100,163.405176065748,1891.41525479926,0.0711916886229071,2.79151768475669,unbiased,2.699837725867246,     1017.000, 27229056.000,        0.751,     -121.533,      120.000,  4164208.000,        0.377,       -5.711,        4.000,   108908.000,        0.727,       -1.493,        7.000,    99481.000,        1.665,       -4.881,      149.000,  7289403.000,       -0.118,        1.784,     1135.000, 33652951.000,        0.604,      -91.446,    15395.000,640969337.000,        0.114,      -63.003,       58.000,   266666.000,        3.293,      -83.177,    17425.000,385589935.000,        1.026,    -4210.572,        7.000,   364720.000,       -0.209,        0.821,        1.000,   101161.000,       -1.166,        1.068,       48.000,  2294614.000,       -0.085,        0.979,     1727.000,100446272.000,       -0.368,       66.274,     1524.000, 38235843.000,        0.845,     -224.232,    17406.000,663399062.000,        0.242,     -302.675,     5725.000,790873841.000,       -1.616,     6668.467,     1082.000, 37380477.000,        0.384,      -38.517,       91.000,  2655835.000,        0.627,       -9.663,        0.000,      357.000,       -0.011,        0.008,        7.000,   125117.000,        1.334,       -3.753,      362.000,  9294423.000,        0.812,      -51.127,      699.000,  5575652.000,        2.498,     -641.581,     2899.000,265905990.000,       -1.025,     1014.794,     2302.000, 35628944.000,        1.542,     -970.159,       77.000,   320354.000,        3.437,     -116.602,       10.000,   717210.000,       -0.670,        2.521,      128.000, 76929416.000,       -3.737,     1268.778,       52.000,   234667.000,        3.320,      -75.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 5980.0,48341.0,21667.0,21158.0,   78.4,   30.4,27647.0,69499.0,154899186,149392308,96.4,144,144,42016499,28.124941345708375,23051959,15.430485885524975
SRR9667915,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428500_shMETTL3_WT_ssDRIP_rep1,150,GSM3937246,Yang,HS,HeLa,shMETTL3,wtMETTL3OE,S9.6,1,None,RES,SRX6428500,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428500,0.147314691584706,1,0.646732868710646,0.630281868158083,0.31442129721551,-0.270914038235578,1.45932832169991,unbiased,-5000,5000,100,193.885422637281,1973.03291469758,0.175505621645777,2.74827554502167,unbiased,2.699837725867246,     1262.000, 27278072.000,        0.660,     -118.767,      120.000,  4170435.000,       -0.025,        0.802,       13.000,   109523.000,        2.020,      -10.358,        3.000,    99491.000,        0.043,       -0.585,      203.000,  7290529.000,       -0.072,        1.387,     1538.000, 33741567.000,        0.639,     -135.994,    20123.000,641395354.000,        0.100,      -62.873,      119.000,   268086.000,        3.922,     -215.696,    25941.000,386391174.000,        1.197,    -8325.328,        8.000,   364625.000,       -0.416,        1.339,        4.000,   101596.000,        0.427,       -1.058,       49.000,  2322742.000,       -0.473,        4.637,     2127.000,100534693.000,       -0.469,      132.609,     1900.000, 38291669.000,        0.761,     -230.655,    20953.000,664200768.000,        0.108,      -76.235,     7113.000,791448972.000,       -1.704,     9409.813,     1390.000, 37470717.000,        0.342,      -39.524,      126.000,  2671914.000,        0.688,      -14.702,        0.000,      357.000,       -0.015,        0.010,       22.000,   125221.000,        2.585,      -23.387,      530.000,  9321470.000,        0.958,      -98.404,      994.000,  5582761.000,        2.604,     -971.868,     3399.000,266070624.000,       -1.196,     1688.905,     3475.000, 35695741.000,        1.733,    -1782.909,      111.000,   321589.000,        3.559,     -175.522,       14.000,   718001.000,       -0.586,        2.645,      144.000, 76931427.000,       -3.967,     1740.210,       66.000,   235019.000,        3.262,      -93.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 2870.0,65549.0,26873.0,26244.0,   90.4,   28.6,29743.0,91793.0,164317568,158607640,96.5,145,145,137285092,86.55641808931776,66175664,41.72287287043675
